rssd9017,rssd9017_name,bank_tier,first_year,last_year,years_observed,innovation_cluster,cluster_name,cluster_full_label,umap_1,umap_2
"NORTHERN TRUST COMPANY, THE","NORTHERN TRUST COMPANY, THE",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,12.569456100463867,-26.759639739990234
PACIFIC PREMIER BANK,PACIFIC PREMIER BANK,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,10.426405906677246,-25.174238204956055
PACIFIC WESTERN BANK,PACIFIC WESTERN BANK,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,10.58271312713623,-26.38070297241211
PLAINSCAPITAL BANK,PLAINSCAPITAL BANK,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,10.563440322875977,-26.06342124938965
"PNC BANK, NATIONAL ASSOCIATION","PNC BANK, NATIONAL ASSOCIATION",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,13.968474388122559,-25.869325637817383
"RABOBANK, NATIONAL ASSOCIATION","RABOBANK, NATIONAL ASSOCIATION",Large,2010,2019,11,2,Quality Improvers,Large - Quality Improvers,13.134852409362793,-25.64154815673828
REGIONS BANK,REGIONS BANK,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,10.12413215637207,-26.426097869873047
"SANTANDER BANK, NATIONAL ASSOCIATION","SANTANDER BANK, NATIONAL ASSOCIATION",Large,2013,2021,9,2,Quality Improvers,Large - Quality Improvers,13.747281074523926,-25.936641693115234
SILICON VALLEY BANK,SILICON VALLEY BANK,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,12.43488597869873,-26.500957489013672
SYNOVUS BANK,SYNOVUS BANK,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,10.09614086151123,-26.068490982055664
"TD BANK, N.A.","TD BANK, N.A.",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,12.950243949890137,-26.60047721862793
TRUSTMARK NATIONAL BANK,TRUSTMARK NATIONAL BANK,Large,2010,2021,13,2,Quality Improvers,Large - Quality Improvers,14.059220314025879,-25.68905258178711
U.S. BANK NATIONAL ASSOCIATION,U.S. BANK NATIONAL ASSOCIATION,Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,11.168229103088379,-26.828205108642578
"WEBSTER BANK, NATIONAL ASSOCIATION","WEBSTER BANK, NATIONAL ASSOCIATION",Large,2010,2021,12,2,Quality Improvers,Large - Quality Improvers,12.78638744354248,-24.994102478027344
"WILMINGTON SAVINGS FUND SOCIETY, FSB","WILMINGTON SAVINGS FUND SOCIETY, FSB",Large,2012,2021,11,2,Quality Improvers,Large - Quality Improvers,10.306832313537598,-26.705326080322266
ARVEST BANK,ARVEST BANK,Large,2010,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,11.957128524780273,-26.238483428955078
"BREMER BANK, NATIONAL ASSOCIATION","BREMER BANK, NATIONAL ASSOCIATION",Large,2010,2021,13,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,11.331954956054688,-24.57120132446289
CITIZENS BUSINESS BANK,CITIZENS BUSINESS BANK,Large,2010,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.149391174316406,-23.93366241455078
COLUMBIA STATE BANK,COLUMBIA STATE BANK,Large,2010,2021,13,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,11.759991645812988,-23.87621307373047
"COMMUNITY BANK, NATIONAL ASSOCIATION","COMMUNITY BANK, NATIONAL ASSOCIATION",Large,2010,2021,14,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,11.704578399658203,-24.396183013916016
EAST WEST BANK,EAST WEST BANK,Large,2010,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,11.511005401611328,-24.661123275756836
FIFTH THIRD BANK,FIFTH THIRD BANK,Large,2010,2019,10,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.052041053771973,-26.027048110961914
FIRST NATIONAL BANK OF PENNSYLVANIA,FIRST NATIONAL BANK OF PENNSYLVANIA,Large,2010,2021,13,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.36781120300293,-23.830251693725586
FIRST UNITED BANK AND TRUST COMPANY,FIRST UNITED BANK AND TRUST COMPANY,Large,2010,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,11.76739501953125,-24.914093017578125
FIRST-CITIZENS BANK & TRUST COMPANY,FIRST-CITIZENS BANK & TRUST COMPANY,Large,2010,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,11.92182445526123,-23.490602493286133
"FLAGSTAR BANK, FSB","FLAGSTAR BANK, FSB",Large,2012,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.27468204498291,-24.745532989501953
"HUNTINGTON NATIONAL BANK, THE","HUNTINGTON NATIONAL BANK, THE",Large,2010,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.250628471374512,-23.767120361328125
"MB FINANCIAL BANK, NATIONAL ASSOCIATION","MB FINANCIAL BANK, NATIONAL ASSOCIATION",Large,2010,2019,11,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.03034782409668,-23.485002517700195
OLD NATIONAL BANK,OLD NATIONAL BANK,Large,2010,2021,13,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.555662155151367,-23.09312629699707
RENASANT BANK,RENASANT BANK,Large,2010,2021,13,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.439064025878906,-23.24962043762207
SALLIE MAE BANK,SALLIE MAE BANK,Large,2010,2021,13,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.346353530883789,-25.209014892578125
SUNTRUST BANK,SUNTRUST BANK,Large,2010,2019,10,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.164965629577637,-25.743793487548828
TCF NATIONAL BANK,TCF NATIONAL BANK,Large,2010,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.707804679870605,-23.207168579101562
THIRD FEDERAL SAVINGS & LOAN ASSOCIATION OF CLEVELAND,THIRD FEDERAL SAVINGS & LOAN ASSOCIATION OF CLEVELAND,Large,2012,2021,10,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.193930625915527,-25.327058792114258
TOWNEBANK,TOWNEBANK,Large,2010,2021,13,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,11.926610946655273,-24.699060440063477
"UMB BANK, NATIONAL ASSOCIATION","UMB BANK, NATIONAL ASSOCIATION",Large,2010,2021,13,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.795470237731934,-23.480195999145508
UMPQUA BANK,UMPQUA BANK,Large,2010,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.235978126525879,-25.083740234375
"WESBANCO BANK, INC.","WESBANCO BANK, INC.",Large,2010,2021,13,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.204909324645996,-23.345142364501953
WESTERN ALLIANCE BANK,WESTERN ALLIANCE BANK,Large,2010,2021,12,3,Digital Deposit Leaders,Large - Digital Deposit Leaders,12.02596664428711,-24.259971618652344
1ST SOURCE BANK,1ST SOURCE BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,-0.711117684841156,4.474026679992676
"ADIRONDACK TRUST COMPANY, THE","ADIRONDACK TRUST COMPANY, THE",Medium,2010,2021,13,-1,Noise,Medium - Noise,2.1018776893615723,4.869350910186768
AMALGAMATED BANK,AMALGAMATED BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,0.10727750509977341,3.4582278728485107
AVIDBANK,AVIDBANK,Medium,2011,2021,12,-1,Noise,Medium - Noise,-0.0650143101811409,5.643653869628906
BANCFIRST,BANCFIRST,Medium,2010,2021,12,-1,Noise,Medium - Noise,1.111403465270996,4.417093276977539
BANK OF THE SIERRA,BANK OF THE SIERRA,Medium,2010,2021,12,-1,Noise,Medium - Noise,1.7320054769515991,4.4244303703308105
BANKNEWPORT,BANKNEWPORT,Medium,2010,2021,12,-1,Noise,Medium - Noise,-1.0636553764343262,5.067512512207031
BANKPLUS,BANKPLUS,Medium,2010,2021,12,-1,Noise,Medium - Noise,-0.5040685534477234,5.362361907958984
BANTERRA BANK,BANTERRA BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,-0.9592670202255249,3.07535719871521
BAYCOAST BANK,BAYCOAST BANK,Medium,2012,2021,11,-1,Noise,Medium - Noise,0.8418582677841187,4.754836082458496
BRISTOL COUNTY SAVINGS BANK,BRISTOL COUNTY SAVINGS BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,-0.27517664432525635,5.675243854522705
CAPE COD CO-OPERATIVE BANK,CAPE COD CO-OPERATIVE BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,1.9164429903030396,4.3115715980529785
CAPE COD FIVE CENTS SAVINGS BANK,CAPE COD FIVE CENTS SAVINGS BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,-1.8448880910873413,4.625886917114258
CAPITAL CITY BANK,CAPITAL CITY BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,0.5578352212905884,5.5101494789123535
CAPITOL FEDERAL SAVINGS BANK,CAPITOL FEDERAL SAVINGS BANK,Medium,2012,2021,10,-1,Noise,Medium - Noise,-1.176748275756836,5.9209184646606445
"CECILIAN BANK, THE","CECILIAN BANK, THE",Medium,2010,2021,13,-1,Noise,Medium - Noise,0.28430289030075073,4.115452766418457
CITIZENS AND FARMERS BANK,CITIZENS AND FARMERS BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,-0.23677942156791687,5.199573993682861
"CITIZENS NATIONAL BANK, NATIONAL ASSOCIATION","CITIZENS NATIONAL BANK, NATIONAL ASSOCIATION",Medium,2010,2021,13,-1,Noise,Medium - Noise,-1.0580976009368896,2.171966314315796
"COLONIAL SAVINGS, FA","COLONIAL SAVINGS, FA",Medium,2012,2021,10,-1,Noise,Medium - Noise,-0.3789183795452118,3.544034242630005
COMMONWEALTH BANK AND TRUST COMPANY,COMMONWEALTH BANK AND TRUST COMPANY,Medium,2010,2021,13,-1,Noise,Medium - Noise,1.143906831741333,4.518692970275879
ENTERPRISE BANK & TRUST,ENTERPRISE BANK & TRUST,Medium,2010,2021,13,-1,Noise,Medium - Noise,0.7352379560470581,3.919748544692993
EQUITY BANK,EQUITY BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,1.8190348148345947,2.21653413772583
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Medium,2010,2021,12,-1,Noise,Medium - Noise,-0.9801467657089233,4.160804748535156
FIRST GENERAL BANK,FIRST GENERAL BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,-2.9570281505584717,3.90720272064209
FIRST GUARANTY BANK,FIRST GUARANTY BANK,Medium,2010,2021,13,-1,Noise,Medium - Noise,-1.3999135494232178,6.2747883796691895
FIRSTRUST SAVINGS BANK,FIRSTRUST SAVINGS BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,0.2287992238998413,6.103664398193359
FIVE STAR BANK,FIVE STAR BANK,Medium,2010,2021,12,-1,Noise,Medium - Noise,0.6723726987838745,5.035806655883789
